timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%], utilization.memory [%]
2026/07/19 10:12:16.327, 2055 MHz, 54, 11.85 W, 0 %, 0 %
2026/07/19 10:12:16.531, 2055 MHz, 54, 11.85 W, 0 %, 0 %
2026/07/19 10:12:16.741, 2055 MHz, 54, 11.85 W, 0 %, 0 %
2026/07/19 10:12:16.945, 2055 MHz, 55, 13.18 W, 30 %, 4 %
2026/07/19 10:12:17.153, 2055 MHz, 55, 13.18 W, 30 %, 4 %
2026/07/19 10:12:17.360, 2055 MHz, 55, 16.61 W, 33 %, 6 %
2026/07/19 10:12:17.571, 2055 MHz, 55, 16.61 W, 33 %, 6 %
2026/07/19 10:12:17.778, 2055 MHz, 55, 16.64 W, 28 %, 5 %
2026/07/19 10:12:17.989, 2055 MHz, 55, 16.64 W, 28 %, 5 %
2026/07/19 10:12:18.207, 2055 MHz, 55, 16.64 W, 28 %, 5 %
2026/07/19 10:12:18.408, 2055 MHz, 56, 18.05 W, 39 %, 9 %
2026/07/19 10:12:18.619, 2055 MHz, 56, 18.05 W, 39 %, 9 %
2026/07/19 10:12:18.823, 2115 MHz, 56, 18.53 W, 14 %, 4 %
2026/07/19 10:12:19.024, 2115 MHz, 56, 18.53 W, 14 %, 4 %
2026/07/19 10:12:19.228, 2115 MHz, 56, 18.53 W, 14 %, 4 %
2026/07/19 10:12:19.430, 2115 MHz, 56, 18.23 W, 26 %, 8 %
2026/07/19 10:12:19.645, 2115 MHz, 56, 18.23 W, 26 %, 8 %
2026/07/19 10:12:19.847, 2115 MHz, 57, 19.00 W, 40 %, 14 %
2026/07/19 10:12:20.060, 2115 MHz, 57, 19.00 W, 40 %, 14 %
2026/07/19 10:12:20.275, 2115 MHz, 57, 19.00 W, 40 %, 14 %
2026/07/19 10:12:20.479, 2115 MHz, 56, 14.14 W, 0 %, 0 %
2026/07/19 10:12:20.686, 2115 MHz, 56, 14.14 W, 0 %, 0 %
2026/07/19 10:12:20.888, 2055 MHz, 57, 18.60 W, 33 %, 5 %
2026/07/19 10:12:21.103, 2055 MHz, 57, 18.60 W, 33 %, 5 %
2026/07/19 10:12:21.313, 2055 MHz, 58, 20.12 W, 41 %, 8 %
2026/07/19 10:12:21.526, 2055 MHz, 58, 20.12 W, 41 %, 8 %
2026/07/19 10:12:21.738, 2055 MHz, 58, 20.12 W, 41 %, 8 %
2026/07/19 10:12:21.950, 2055 MHz, 57, 19.03 W, 40 %, 7 %
2026/07/19 10:12:22.155, 2055 MHz, 57, 19.03 W, 40 %, 7 %
2026/07/19 10:12:22.356, 2700 MHz, 60, 22.82 W, 68 %, 12 %
2026/07/19 10:12:22.558, 2700 MHz, 60, 22.82 W, 68 %, 12 %
2026/07/19 10:12:22.770, 2700 MHz, 60, 22.82 W, 68 %, 12 %
2026/07/19 10:12:22.985, 2700 MHz, 59, 28.35 W, 41 %, 3 %
2026/07/19 10:12:23.193, 2700 MHz, 59, 28.35 W, 41 %, 3 %
2026/07/19 10:12:23.396, 2700 MHz, 60, 31.17 W, 47 %, 6 %
2026/07/19 10:12:23.602, 2700 MHz, 60, 31.17 W, 47 %, 6 %
2026/07/19 10:12:23.814, 2700 MHz, 60, 30.63 W, 62 %, 11 %
2026/07/19 10:12:24.025, 2700 MHz, 60, 30.63 W, 62 %, 11 %
2026/07/19 10:12:24.227, 2700 MHz, 60, 30.63 W, 62 %, 11 %
2026/07/19 10:12:24.431, 2700 MHz, 59, 29.84 W, 75 %, 10 %
2026/07/19 10:12:24.644, 2700 MHz, 59, 29.84 W, 75 %, 10 %
2026/07/19 10:12:24.857, 2700 MHz, 60, 29.09 W, 58 %, 3 %
2026/07/19 10:12:25.071, 2700 MHz, 60, 29.09 W, 58 %, 3 %
2026/07/19 10:12:25.275, 2700 MHz, 60, 29.09 W, 58 %, 3 %
2026/07/19 10:12:25.479, 2700 MHz, 60, 31.46 W, 72 %, 5 %
2026/07/19 10:12:25.681, 2700 MHz, 60, 31.46 W, 72 %, 5 %
2026/07/19 10:12:25.890, 2700 MHz, 61, 31.65 W, 85 %, 8 %
2026/07/19 10:12:26.094, 2700 MHz, 61, 31.65 W, 85 %, 8 %
2026/07/19 10:12:26.295, 2700 MHz, 61, 31.29 W, 74 %, 10 %
2026/07/19 10:12:26.505, 2700 MHz, 61, 31.29 W, 74 %, 10 %
2026/07/19 10:12:26.706, 2700 MHz, 61, 31.29 W, 74 %, 10 %
2026/07/19 10:12:26.908, 2700 MHz, 60, 31.47 W, 86 %, 4 %
2026/07/19 10:12:27.109, 2700 MHz, 60, 31.47 W, 86 %, 4 %
2026/07/19 10:12:27.324, 2700 MHz, 61, 32.06 W, 98 %, 9 %
2026/07/19 10:12:27.526, 2700 MHz, 61, 32.06 W, 98 %, 9 %
2026/07/19 10:12:27.729, 2700 MHz, 61, 32.06 W, 98 %, 9 %
2026/07/19 10:12:27.931, 2700 MHz, 61, 32.18 W, 82 %, 8 %
2026/07/19 10:12:28.135, 2700 MHz, 61, 32.18 W, 82 %, 8 %
2026/07/19 10:12:28.337, 2700 MHz, 61, 32.12 W, 78 %, 3 %
2026/07/19 10:12:28.538, 2700 MHz, 61, 32.12 W, 78 %, 3 %
2026/07/19 10:12:28.741, 2700 MHz, 61, 32.12 W, 78 %, 3 %
2026/07/19 10:12:28.941, 2700 MHz, 61, 29.22 W, 84 %, 3 %
2026/07/19 10:12:29.157, 2700 MHz, 61, 29.22 W, 84 %, 3 %
2026/07/19 10:12:29.365, 2700 MHz, 61, 32.66 W, 98 %, 5 %
2026/07/19 10:12:29.569, 2700 MHz, 61, 32.66 W, 98 %, 5 %
2026/07/19 10:12:29.773, 2700 MHz, 61, 32.66 W, 98 %, 5 %
2026/07/19 10:12:29.980, 2700 MHz, 61, 32.52 W, 91 %, 9 %
2026/07/19 10:12:30.193, 2700 MHz, 61, 32.52 W, 91 %, 9 %
2026/07/19 10:12:30.394, 2700 MHz, 61, 31.30 W, 86 %, 7 %
2026/07/19 10:12:30.595, 2700 MHz, 61, 31.30 W, 86 %, 7 %
2026/07/19 10:12:30.799, 2700 MHz, 64, 31.21 W, 93 %, 5 %
2026/07/19 10:12:31.003, 2700 MHz, 64, 31.21 W, 93 %, 5 %
2026/07/19 10:12:31.204, 2700 MHz, 64, 31.21 W, 93 %, 5 %
